Symbol,Ionic Radius (angstroms),Modulus of Elasticity  Mpa, BP (K),MP (K),Density,at. wt.,BCCefflatcnt,BCCenergy_pa,BCCenergydiff,BCCfermi,BCCmagmom,BCCvolume_pa,BCCvolume_padiff,GSbandgap,GSefflatcnt,GSenergy_pa,GSmagmom,GSvolume_pa,HHIp,HHIr,ICSDVolume,covalent radius,Ionization Energy (kJ/mol),Atomic Radius (?),Electron Affinity (eV),At. Radius   (angstroms),Atomic Volume (cm?/mol),MendeleevNumber,n_ws^third,First Ionization Potential (V),Second Ionization Potential  (V),Third Ionization Potential  (V),Coeficient of Thermal Expansion (10^-6 K-1),specific heat capacity,thermal conductivity,electrical conductivity,heat of fusion,Heat of Vaporization,Electro-  negativity
H,1.54,,20.28,13.81,0.0899,1.00797,3.589268453,-2.13581094,1.195479825,3.21974562,0,2.89,-3.725,7.853,4.730241098,-3.331290765,0,6.615,,,32,0.32,1312,0.32,0.754,0.79,14.4,92,1.5,13.598, , ,0,14.3,0.1815, ,0.0585,0.4581,2.2
He, ,,4.216,0.95,0.1785,4.0026,5.373994764,-2.00067286,-2.00180826,1.723477125,0,9.7,-2.605,18.098,5.817466176,0.0011354,0,12.305,320,390,19,0.93,"2,372.30",0.5,-0.52,0.49,19.5,98,,24.587,54.416, ,0,5.193,0.152, ,0.021,0.084, 
Li,0.76,10,1615,453.7,0.53,6.941,6.416364372,-1.86553478,0.00435213,0.22720863,0,16.51,-0.083333333,0,6.427141677,-1.86988691,0,16.59333333,290,420,21.6,1.23,520,1.55,0.618,2.05,13.1,1,0.98,5.392,76.638,122.451,46,3.582,84.7,11.7,3,147.1,0.98
Be,0.45,301,3243,1560,1.85,9.01218,4.99733191,-3.65527191,0.099766785,8.09610906,0,7.8,-0.09,0,5.016478962,-3.755038695,0,7.89,800,400,8.1,0.9,899.4,1.12,-0.52,1.4,5,67,1.67,9.322,18.211,153.893,11.3,1.825,200,25,11.71,297,1.57
B,0.23,441,4275,2365,2.34,10.811,4.606669594,-4.96643126,1.711266894,10.25960696,0,6.11,-1.0625,1.524,4.859558857,-6.677698154,0,7.1725,290,200,7.7,0.82,800.6,0.98,0.28,1.17,4.6,72,1.75,5.298,25.154,37.93,4.7,1.026,27,5.00E-12,22.6,507.8,2.04
C,0.16,7,5100,3825,2.26,12.011,4.726663002,-4.87176209,4.337951565,8.67608379,0,6.6,0.96,4.496,4.485384682,-9.209713655,0,5.64,50,50,5.6,0.77,1086.4,0.91,1.262,0.91,4.58,77,1.77,11.26,24.383,47.887,1,0.709, ,0.07, ,715,2.55
N,1.71,,77.344,63.15,1.251,14.0067,4.815689402,-4.05718461,4.1542566,6.27497729,0,6.98,-7.78875,6.437,6.182364034,-8.21144121,0,14.76875,130,50,22.6,0.75,"1,402.30",0.92,-0.001,0.75,17.3,82,1.65,14.534,29.601,47.448,240,1.042,0.02598, ,0.36,2.7928,3.04
O,1.4,,90.188,54.8,1.429,15.9994,4.894871769,-2.45975161,2.297040295,3.0735335,0,7.33,-1.775,0,5.261787573,-4.756791905,0,9.105,50,50,17.3,0.73,1313.9,0.73,1.461,0.65,14,87,,13.618,35.117,54.934,780,0.92,0.2674, ,0.222,3.4109,3.44
F,1.33,,85,53.55,1.696,18.9984,5.128407411,-0.82794713,0.870113828,-1.58696247,0,8.43,-1.2775,1.97,5.375379458,-1.698060958,0,9.7075,150,150,16.4,0.72,"1,681.00",0.72,3.401,0.57,12.6,93,,17.422,34.97,62.707,1800,0.824,0.0279, ,0.26,3.2698,3.98
Ne, ,,27.1,24.55,0.9,20.1797,6.702649876,-1.041215915,-1.135251585,-0.135856645,0,18.82,6.18,13.088,5.869787137,0.09403567,0,12.64,,,23,0.71,"2,080.60",0.71,-1.2,0.51,17.3,99,,21.564,40.962,63.45,1900,1.03,0.0493, ,0.34,1.77, 
Na,1.02,5,1156,371,0.97,22.98977,7.760395346,-1.2544847,0.005756683,1.31524918,0,29.21,-0.033333333,0,7.763346179,-1.260241383,0,29.24333333,110,50,39.7,1.54,495.8,1.9,0.548,2.23,23.7,2,0.82,5.139,47.286,71.641,71,1.23,141,20.1,2.601,98.01,0.93
Mg,0.72,44.4,1380,922,1.74,24.305,7.153611229,-1.51367083,0.02860148,4.0864554,0,22.88,-0.01,0,7.15465327,-1.54227231,0,22.89,530,50,23.4,1.36,737.7,1.6,-0.415,1.72,13.97,68,1.17,7.646,15.035,80.143,24.8,1.02,156,22.4,8.95,127.6,1.31
Al,0.54,70.5,2740,933.5,2.7,26.98154,6.46904413,-3.65018713,0.09523599,7.76407342,0,16.92,0.44,0,6.412475665,-3.74542312,0,16.48,1.6,1,16.6,1.18,577.6,1.43,0.433,1.62,10,73,1.39,5.986,18.828,28.447,23.1,0.9,237,37.7,10.7,290.8,1.61
Si,0.26,162,2630,1683,2.33,28.0855,6.160132678,-4.90201039,0.522907615,9.91441468,0,14.61,-5.83,0.773,6.889699677,-5.424918005,0,20.44,470,100,20,1.11,786.4,1.32,1.39,1.44,12.1,78,1.5,8.151,16.345,33.492,2.6,0.7,148,0.0004,50.2,359,1.9
P,0.17,5,553,317.3,1.82,30.97376,6.096226278,-4.6830362,0.717472843,10.06787517,0,14.16,-8.410238095,1.625,7.121181273,-5.400509043,0,22.5702381,200,510,18.9,1.06,1011.7,1.28,0.747,1.23,17,83,1.65,10.486,19.725,30.18,127,0.769,0.235,1.00E-16,0.63,12.4,2.19
S,0.29,19,717.82,392.2,2.07,32.066,6.29893322,-3.00278915,1.094427569,7.76558603,0,15.62,-10.166875,2.202,7.444569109,-4.097216719,0,25.786875,70,100,25.7,1.02,999.58,1.27,2.077,1.09,15.5,88,,10.36,23.33,34.83,70,0.71,0.269,5.00E-16,1.73,10,2.58
Cl,1.81,,239.18,172.17,3.214,35.4527,6.900917052,-0.9545457,0.829888055,2.21271389,0,20.54,-3.9575,2.493,7.318362479,-1.784433755,0,24.4975,150,100,29,0.99,1251.1,0.99,3.613,0.97,16.9,94,,12.967,23.81,39.611,0,0.48,0.0089, ,3.21,10.2,3.16
Ar, ,3,87.45,83.95,1.784,39.948,9.049602661,-1.02553085,-1.08407189,1.07931739,0,46.32,17.78,9.26,7.700601516,0.05854104,0,28.54,,,36.3,0.98,1520.5,0.98,-1,0.88,23.9,100,,15.759,27.629,40.74,618,0.52,0.0177, ,1.188,6.506, 
K,1.51,2.4,1033,336.8,0.86,39.0983,10.48781656,-1.096516,0.001023713,-0.05407911,0,72.1,-1.006666667,0,10.53640175,-1.097539713,0,73.10666667,170,720,75.6,2.03,418.8,2.35,0.501,2.77,45.46,3,0.65,4.341,31.625,45.72,82,0.757,102.5,16.4,2.33,76.9,0.82
Ca,1,21,1757,1112,1.55,40.078,8.383034541,-1.92725921,0.021070355,2.89542357,0,36.82,-0.95,0,8.454520649,-1.948329565,0,37.77,390,150,44.1,1.74,589.8,1.97,0.025,2.23,25.9,7,0.91,6.113,11.871,50.908,22.3,0.647,200,31.3,8.53,154.67,1
Sc,0.75,80,3109,1814,2.99,44.9559,7.08202821,-6.17209116,0.11342193,4.45180104,0,22.2,-0.035,0,7.085748043,-6.28551309,0.00000635,22.235,550,450,24.9,1.44,631,1.606,0.188,2.09,15,11,1.27,6.54,12.8,24.76,10,0.568,15.8,1.5,16.11,304.8,1.36
Ti,0.61,110,3560,1935,4.54,47.88,6.45883252,-7.66126811,0.11395901,2.97615095,0,16.84,0.15,0,6.439598241,-7.77522712,2.25E-05,16.69,110,160,17.6,1.32,658,1.448,0.084,2,10.64,43,1.52,6.82,13.58,27.491,8.6,0.523,21.9,2.6,18.6,425.2,1.54
V,0.54,129,3650,2163,6.11,50.9415,5.926510976,-8.93926069,0,6.45502198,0,13.01,0,0,5.926510976,-8.93926069,0,13.01,330,340,13.8,1.22,650,1.321,0.528,1.92,8.78,46,1.64,6.74,14.65,29.31,8.4,0.489,30.7,4,22.8,446.7,1.63
Cr,0.62,259,2945,2130,7.19,51.996,5.6328007,-9.50480758,0.00090896,7.97704267,0,11.17,-0.02,0,5.636160558,-9.50571654,0,11.19,310,410,12,1.18,652.8,1.249,0.676,1.85,7.23,49,1.73,6.766,16.5,30.96,4.9,0.449,93.7,7.9,20,339.5,1.66
Mn,0.67,198,2235,1518,7.44,54.938,5.519599495,-8.87041076,0.15015449,7.57494268,0.8185729,10.51,0.022413793,0,5.515672974,-9.02056525,0.000310121,10.48758621,160,180,12.2,1.17,717.4,1.24,-0.52,1.79,7.39,52,1.61,7.435,15.64,33.667,21.7,0.48,7.82,0.5,14.64,219.74,1.55
Fe,0.55,211,3023,1808,7.874,55.847,5.557846759,-8.28548436,0,6.45149343,2.1106628,10.73,0,0,5.557846759,-8.28548436,2.1106628,10.73,240,140,11.7,1.17,759.3,1.241,0.153,1.72,7.1,55,1.77,7.87,16.18,30.651,11.8,0.449,80.2,11.2,13.8,349.5,1.83
Co,0.65,208,3143,1768,8.9,58.9332,5.507318082,-6.98008657,0.100302575,6.14041474,1.6840372,10.44,0.195,0,5.472813497,-7.080389145,1.5484712,10.245,3.1,2.7,11.1,1.16,758,1.253,0.662,1.67,6.7,58,1.75,7.86,17.06,33.5,13,0.421,100,17.9,16.19,373.3,1.88
Ni,0.69,208,3005,1726,8.9,58.6934,5.487907316,-5.43913904,0.10718553,5.09579251,0.0645672,10.33,0.01,0,5.48613588,-5.54632457,0.5953947,10.32,100,150,10.8,1.15,736.7,1.246,1.157,1.62,6.59,61,1.75,7.635,18.168,35.17,13.4,0.444,90.7,14.6,17.2,377.5,1.91
Cu,0.73,124,2840,1356.6,8.96,63.456,5.617631504,-3.64288728,0.03776754,4.3787397,0,11.08,0.01,0,5.615940974,-3.68065482,0,11.07,160,150,11.8,1.17,745.4,1.278,1.236,1.57,7.1,64,1.47,7.726,20.292,36.83,16.5,0.385,401,60.7,13.14,300.5,1.9
Zn,0.74,95,1180,692.73,7.13,65.39,6.096226278,-1.1570915,0.082908415,3.91507328,0,14.16,0.2,0,6.067388447,-1.239999915,0,13.96,160,190,15.1,1.25,906.4,1.332,-0.62,1.53,9.2,69,1.32,9.394,17.964,39.722,30.2,0.388,116,16.9,7.38,115.3,1.65
Ga,0.62,11,2478,302.92,5.91,69.723,6.596508714,-2.97839076,0.033864542,3.94985673,0,17.94,-0.9175,0,6.707098736,-3.012255303,0,18.8575,550,190,19.6,1.26,578.8,1.41,0.43,1.81,11.8,74,1.31,5.999,20.51,30.71,19.7,0.371,40.6,1.8,5.59,256.06,1.81
Ge,0.53,115,3107,1211.5,5.32,72.61,6.702649876,-4.27836489,0.337674655,4.38004256,0,18.82,-4.185,0.383,7.166614987,-4.616039545,0,23.005,530,190,22.2,1.22,762.1,1.37,1.233,1.52,13.6,79,1.37,7.899,15.934,34.22,5.7,0.32,59.9,0.000003,31.8,334.3,2.01
As,0.58,39,876,1090,5.78,74.9216,6.725130247,-4.21496399,0.435925125,6.47464548,0,19.01,-3.165,0,7.079368793,-4.650889115,0,22.175,330,400,21.5,1.2,947,1.39,0.805,1.33,13.1,84,1.44,9.81,18.633,28.351,15.4,0.33,50,3.8,27.7,32.4,2.16
Se,0.5,20,958,494,4.79,78.96,6.859228863,-2.90074111,0.5700508,5.61176057,0,20.17,-5.75,0.799,7.457358014,-3.47079191,0,25.92,220,600,29.8,1.16,940.9,1.4,2.021,1.22,16.45,89,,9.752,21.19,30.82,45,0.32,2.04,8,5.54,26.32,2.55
Br,1.96,,331.85,265.95,3.12,79.904,7.422672127,-0.99863179,0.584393548,2.00721501,0,25.56,-3.92,1.457,7.784232888,-1.583025338,0,29.48,330,690,65.1,1.14,"1,139.90",1.14,3.364,1.12,25.6,95,,11.814,21.8,36,0,0.226,0.122,1.00E-16,5.286,14.725,2.96
Kr, ,,120.85,116,3.75,83.8,9.703282978,-0.98028443,-1.06781967,1.049049325,0,57.1,21.04,7.535,8.324955135,0.08753524,0,36.06,,,44.8,1.89,1350.7,1.12,-0.62,1.03,38.9,101,,13.999,24.359,36.95,425,0.248,0.00949, ,1.638,9.029, 
Rb,1.61,2,961,312.63,1.532,85.4678,11.23526301,-0.96193707,0.001397955,0.09088364,0,88.64,-2.0825,0,11.32256956,-0.963335025,0,90.7225,600,600,93,2.16,403,2.48,0.486,2.98,55.9,4,0.6,4.177,27.28,40,91,0.363,58.2,47.8,2.34,69.2,0.82
Sr,1.26,15,1655,1042,2.54,87.62,9.45988626,-1.67793991,0.00487369,1.71056951,0,52.91,-1.32,0,9.537909464,-1.6828136,0,54.23,420,300,56,1.91,549.5,2.15,0.052,2.45,33.7,8,0.84,5.695,11.03,43.6,22.5,0.3,3.53,5,8.2,136.9,0.95
